year,qtr,origin,dest,pc_hawaiian,pc_aloha,pc_go,pc_island,pc_other,mf_hawaiian,mf_aloha,mf_go,mf_island,mf_other
1996,3,KOA,ITO,3,4,0,0,0,36,34.5,NA,NA,NA
1996,3,LIH,HNL,72,361,0,0,3,52,52.5,NA,NA,67.5
1996,3,LIH,OGG,32,170,0,0,2,39,65.79,NA,NA,160.01
1996,3,LIH,KOA,28,110,0,0,0,62.995,52.99,NA,NA,NA
1996,3,LIH,ITO,23,77,0,0,0,47.99,42.01,NA,NA,NA
1996,3,ITO,HNL,62,204,0,0,0,48.005,59.25,NA,NA,NA
1996,3,ITO,OGG,51,119,0,0,0,35.01,48,NA,NA,NA
1996,3,ITO,KOA,32,4,0,0,0,39.5,38,NA,NA,NA
1996,3,ITO,LIH,18,64,0,0,0,50.5,42.99,NA,NA,NA
1996,4,HNL,OGG,85,434,0,0,72,28,62,NA,NA,69.5
1996,4,HNL,KOA,74,453,0,0,1,48.99,59.5,NA,NA,150
1996,4,HNL,LIH,75,359,0,0,0,47,59.05,NA,NA,NA
1996,4,HNL,ITO,74,239,0,0,0,36.005,50,NA,NA,NA
1996,4,OGG,HNL,119,401,0,0,64,28,59.5,NA,NA,66.5
1996,4,OGG,KOA,74,153,0,0,0,42,51,NA,NA,NA
1996,4,OGG,LIH,42,156,0,0,0,39.87,67,NA,NA,NA
1996,4,OGG,ITO,52,91,0,0,0,42,46.5,NA,NA,NA
1996,4,KOA,HNL,82,460,0,0,5,46.34,59.99,NA,NA,60.99
1996,4,KOA,OGG,38,122,0,0,0,50,51.5,NA,NA,NA
1996,4,KOA,LIH,32,87,0,0,0,35.99,58,NA,NA,NA
1996,4,KOA,ITO,18,7,0,0,0,34,34,NA,NA,NA
1996,4,LIH,HNL,64,345,0,0,4,45,56.5,NA,NA,70.25
1996,4,LIH,OGG,21,160,0,0,0,46.52,61.81,NA,NA,NA
1996,4,LIH,KOA,49,87,0,0,0,47.99,58,NA,NA,NA
1996,4,LIH,ITO,23,46,0,0,0,67.99,38,NA,NA,NA
1996,4,ITO,HNL,42,241,0,0,0,43.01,51.49,NA,NA,NA
1996,4,ITO,OGG,66,96,0,0,0,40.99,47.755,NA,NA,NA
1996,4,ITO,KOA,39,8,0,0,0,44,34,NA,NA,NA
1996,4,ITO,LIH,30,44,0,0,0,58,45,NA,NA,NA
1997,1,HNL,OGG,42,502,0,0,63,29,67,NA,NA,63.5
1997,1,HNL,KOA,64,459,0,0,6,49.01,66.99,NA,NA,74.005
1997,1,HNL,LIH,30,411,0,0,0,46,57,NA,NA,NA
1997,1,HNL,ITO,75,259,0,0,0,51.99,51,NA,NA,NA
1997,1,OGG,HNL,71,488,0,0,82,43.04,63,NA,NA,63.5
1997,1,OGG,KOA,41,222,0,0,0,38,53,NA,NA,NA
1997,1,OGG,LIH,12,235,0,0,1,70.495,69,NA,NA,116.94
1997,1,OGG,ITO,44,100,0,0,0,40,46,NA,NA,NA
1997,1,KOA,HNL,78,513,0,0,3,59,68.01,NA,NA,66.99
1997,1,KOA,OGG,46,181,0,0,0,48,52,NA,NA,NA
1997,1,KOA,LIH,33,115,0,0,0,69,58.99,NA,NA,NA
